path	sha256	error
external-corpus/calculix__CalculiX-Examples/Contact/Valve/valve.inp	bd74cdf63b9ac76c5c1d2743fe682163b4a20e00e66ab48cbdf0af0050d02ebf	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Contact/Valve/all.msh'
external-corpus/calculix__CalculiX-Examples/Drahtbiegen/Biegung/Biegung.inp	bf057dcf375d16b330bac2141f970249e60f4832b4f2a5427c1224407f80fdc9	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Drahtbiegen/Biegung/all.msh'
external-corpus/calculix__CalculiX-Examples/Drahtbiegen/Zug/Zug.inp	6d6f173733bca55af6943faf1e5d338073c116a2e050dc15dd2e12d765a424b4	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Drahtbiegen/Zug/all.msh'
external-corpus/calculix__CalculiX-Examples/Elements/Shell/shell.inp	808f20f0bac625a0e577020a8d9996efa6c85702f6a0dd9741f4d573347a379d	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Elements/Shell/all.msh'
external-corpus/calculix__CalculiX-Examples/Elements/Solid/solid.inp	c3206f8993f5062a05b4ac012d11f49f3997b4a79848157472df709295f97977	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Elements/Solid/all.msh'
external-corpus/calculix__CalculiX-Examples/Kasten/Kasten.inp	7878bec067075b4267708b142bd8d035dcf973a724abc6d3cf6569db635c3f41	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Kasten/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/BiaxBending/Biegung.inp	be72b111c41090c362464694fca7a3095598baa416c1b09de8312bd73abf2bb7	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/BiaxBending/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/Crack1/solve.inp	8ed2a949f754380bfa91a0aab2443ee94e39a5596990e34963975bfb441aab53	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/Crack1/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/L-Plate/solve.inp	d0408a4aaefe715863c5e67e9c1f49d2bd17e45d80551c5fbba43017d3bfd342	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/L-Plate/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/Mesh1/modal.inp	6222be809b95a4be841a9ae99177ea82a5039db2f756db724dfb89e0293d7835	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/Mesh1/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/PSE/solve.inp	3e2d7496211943e6b80083ba9f3e61636182ba670caafb54916c914a75dd9528	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/PSE/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/Plates/plates.inp	79375d42005e426d5ec9f14ed5d852a9e743744e1b8e8f4510d716409563630d	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/Plates/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/Separate/element.inp	70a9a2d82f71fa38913ffac9f61a969355f06270775affb426f2c5250e97d250	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/Separate/separate-nod.inc'
external-corpus/calculix__CalculiX-Examples/Linear/Separate/nodal.inp	79375d42005e426d5ec9f14ed5d852a9e743744e1b8e8f4510d716409563630d	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/Separate/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/ShearCenter/II.inp	7584aae4842a44bb9f7dfacb6569b0bd69ae96f85972f36bdc3918e3530c2d22	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/ShearCenter/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/StressConc/Stress.inp	a5284c01bcc24299bc0e8c83abbd4dcdbcd8ad2456bdc0295b29035190b1e312	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/StressConc/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/StressConc1/Stress.inp	ed9d9f0216432c773ad2f3b5bbceaf2b639f6fb7713fbfefb03931fa36855493	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/StressConc1/all.msh'
external-corpus/calculix__CalculiX-Examples/Linear/StressConc1/Stress1.inp	4c86ecf84c8f98b259d57e9f2fda432f9286229465553bb252300950a790e6b0	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Linear/StressConc1/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/3PB/Biegung.inp	cb4cbe571aff8da2833cabdddd99f9f8a93d85a815ec25097cfee6b8a7428a60	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/3PB/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Bolt/thermal.inp	258a53eb40f1ac52382b71a83da0c2f6c4c0a483f2b7407a9e295a87d3b31df6	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Bolt/bolt.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Creep/solve.inp	337c20dbbe14a9c581de69440eadecd28983d87f5b53707dd350f3b1fb91d111	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Creep/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Creep/solve2.inp	f132ff07b508fa1aee216a4533ce52162a95304acdf4a7ef00fafa621e86f24e	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Creep/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Cut/solve.inp	5b44480ce2f8185cf7aa7ea491ae0dd36de51ed4a82f95e6821f3c5d3067e103	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Cut/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Honeycomb/Biegung.inp	8749785b1236c1043d09b8621829e5467aca6fa944d9e63dc51f7bb53523a61d	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Honeycomb/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/shell-modal.inp	edd6e28f22d0f169438ed9f71af6c68ba6ba0323f9636c9697456246bacdc8df	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/shell-sym-modal.inp	989c0b72e22ec47fa88d50c7282ed3d4b71e40ef374b0288bbd80d727b8393ef	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/solid-modal.inp	07a61793577a1f78ff8687d5168fddbad7a767068eb544465cee1bb11c230f5f	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/solid-static.inp	a82bf544f7f0bd10e8996b3982f4896f39c10f6d1bf4bb5e97dbb7a0fc96b03d	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/solid-sym-modal.inp	5a099f25bde185d8fb3fc989bc9e3ceeb1f78bb63e33beb1ef082f5ca574a4c8	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Rohrknie/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Sandwichtest/Biegung.inp	6c08dfd5ce923e1c52ba06c0654104222fa276dfb9a9ee943d0808f5f10d7d9d	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Sandwichtest/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Sections/Biegung.inp	9185b246b682aae27c3d5d66afa81426eeba50adbe18ce1d060f3b058f314307	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Sections/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/Sections/Plastic/Biegung.inp	1f3525ef9d02baf033e7f190ed61d17626e1a58aeebe8bcb06b9e017e3a763cb	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/Sections/Plastic/all.msh'
external-corpus/calculix__CalculiX-Examples/NonLinear/TensileTest/Zug.inp	b976ae6cb2590cc8aeaf42172447535392114bbbab8ce514d4919e59502b3995	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/NonLinear/TensileTest/all.msh'
external-corpus/calculix__CalculiX-Examples/Pillow/static.inp	1e638dd2b73410f6de88cbfcc0c06f2edd671cb57ebc03d02aae6b2629724361	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Pillow/all.msh'
external-corpus/calculix__CalculiX-Examples/RVE/Periodic/Solve.inp	c28d25ca45b03d8d8d8456b400c02e17c13434a386f06f485fb5c7b740a6806f	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/RVE/Periodic/all.msh'
external-corpus/calculix__CalculiX-Examples/RVE/PlanarSlide/Zug.inp	4cbbadf518d3b09e02a82d41a69ee945a28e38b039cc84d27e1ebc52a53ae756	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/RVE/PlanarSlide/all.msh'
external-corpus/calculix__CalculiX-Examples/RVE/PlaneOrtho1/Zug.inp	b2a7c89737e976dfd962783f99475f7b3ad7b41d533b6ed85a184dc2246565dd	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/RVE/PlaneOrtho1/all.msh'
external-corpus/calculix__CalculiX-Examples/Streifen/b.inp	94505c403ca61adb3abe165c1edc3b9b1c1c7937008de43967e1346ebb4b679f	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Streifen/all.msh'
external-corpus/calculix__CalculiX-Examples/Streifen/sck.inp	61d77dc9d7902395bcacbb4b7865cac47da9953c8975f6703605bf07771338a9	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Streifen/all.msh'
external-corpus/calculix__CalculiX-Examples/Streifen/sh.inp	072a9d5b1177d91894816d8ef4bffd487addf6c1dd7d64ff6faf10583ea67950	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Streifen/all.msh'
external-corpus/calculix__CalculiX-Examples/Streifen/sm.inp	cbb2492647ca7a5b4fc741c671a89a6f8e072aeffe5db024470771ebf207d3c0	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Streifen/all.msh'
external-corpus/calculix__CalculiX-Examples/Streifen/sr.inp	1ba03f18e0967071874107217c1f6a2e6bd2399bec64d62e51be63b865318676	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Streifen/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/Beam/modal.inp	06665b11c845997537fe0f689732ebbdc480f20474fd52b15c5e6f8f1391b323	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/Beam/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/BeamSections/b32.inp	59a8d04412037e18fef5e7c60187807fc3e5fd0ea5ecee545a11a9e09d77d38c	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/BeamSections/b32.msh'
external-corpus/calculix__CalculiX-Examples/Test/Distributing/solve.inp	ee9846f76bfce02e281bfe24815be00ddf12f14ebfde7aac71eff5c19df9d002	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/Distributing/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/Joints/solve.inp	f72967b71ca291e1fd78d13a60c3f505c30eb8c045efd68ebb4a207606b7ca98	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/Joints/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/Joints/solve2.inp	05a61db0e9e7a8f2dc71e4bafa2b97b3c8b68c7433efc217f00ed5c9a8fb95d1	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/Joints/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/Meanrot/solve.inp	88cba8e48602e809fa37f5e78a851ce0bd0b7606576fe4a2d70f3e56afd8ed3f	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/Meanrot/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/NodalForces/solid.inp	b7a17008734d7224275940e9b6c49c3503f3a8fbdcb2b778dc1631f4151362cb	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/NodalForces/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/Supports/solve.inp	75b0e7eeb992d44e92d2cc6cd9d6ecbc2d03ecbc25e567a2cb49856a42050557	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/Supports/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/Supports/trans.inp	bcc709537e5fb708ff76e787f03af8c8d2e0ff1d43464f907647b4fc0cce5180	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/Supports/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/Supports/trfix.inp	a9285bafddf7d08daea7450298dab0f73eadf4884e432e53153fcdbb9c0bbd20	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/Supports/all.msh'
external-corpus/calculix__CalculiX-Examples/Test/Supports1/solve.inp	318bbb8bf708bfe591b13ac99fa0865f1fee4b847c9d23a4ad708b80e1a9726f	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Test/Supports1/all.msh'
external-corpus/calculix__CalculiX-Examples/Thermal/Thermal distortion/Tjoint.inp	acd608b76069edb8a74c9ec6afb5b77eeaea037e45e57aa2a9da42120c3bc1d8	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Thermal/Thermal distortion/all.msh'
external-corpus/calculix__CalculiX-Examples/Thermal/Thermal shock/solve.inp	02aaedc954ba539ca65cfb6d58347ddfda28c0331ed9a365e6ea2e67f0ab103d	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Thermal/Thermal shock/all.msh'
external-corpus/calculix__CalculiX-Examples/Thermal/Thermografie/Naht.inp	67a1495e21a8865d415f804c0d1cfc27b84b748d3d1c96c6b1ef0152fcd29350	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Thermal/Thermografie/all.msh'
external-corpus/calculix__CalculiX-Examples/Thermal/thermo1d/solve.inp	e73d67c880998ad017cb4c5d5e38ad3a80e8336bcf1207a46d525ddcc9ce4f37	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Thermal/thermo1d/all.msh'
external-corpus/calculix__CalculiX-Examples/Thermal/thermo1d/solve2d.inp	5a87adae39e4a320c0d4badcb20713c404c9558b288873ca6fe0cb3ec09d9f9f	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Thermal/thermo1d/all.msh'
external-corpus/calculix__CalculiX-Examples/Thermal/thermo1d/solve2d_sep.inp	d9d55e1b2c0ee64849489816431e968c891b61066bad51c370c4738d934303e2	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Thermal/thermo1d/separate-nod.inc'
external-corpus/calculix__CalculiX-Examples/Thermal/thermo1d/solve_sep.inp	6014da5a089859305a663812217dc6674cc07a4c569726fbd87d3b21714e7e58	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__CalculiX-Examples/Thermal/thermo1d/separate-nod.inc'
external-corpus/calculix__examples/ccx/test/lin_stat_cooks_beam_128.inp	3b8a21f528d2cbb2f16e9429650f1e0737f518b6e7ede450a4b7d9f61f62f0d0	ValueError: external-corpus/calculix__examples/ccx/test/lin_stat_cooks_beam_128.inp:232: part/assembly/instance namespaces are not supported
external-corpus/calculix__examples/ccx/test/lin_stat_th_gradient.inp	4173e7741c4b990c6538613a33c795bb2af630fd484ba27a1c8a7b9ddeb1d05d	ValueError: external-corpus/calculix__examples/ccx/test/lin_stat_th_gradient.inp:1292: part/assembly/instance namespaces are not supported
external-corpus/calculix__examples/ccx/test/lin_stat_twisted_beam.inp	71f361c343116321336952a9089b3658aece368733c3d090ca55d3cd463fa88d	ValueError: external-corpus/calculix__examples/ccx/test/lin_stat_twisted_beam.inp:25: part/assembly/instance namespaces are not supported
external-corpus/calculix__examples/cgx/airfoil/ccx/rae2822.inp	af52aec3fac953b080f778cffd50bf58977f6dd7a682c96f1fbcb632d80d8ee2	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/cgx/airfoil/ccx/all.msh'
external-corpus/calculix__examples/cgx/compressor/lavffcyc.inp	03b9c22295d1f86c260c0bd962dbca9ce2687a4a5e11254213fecde263586e7b	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/cgx/compressor/all.msh'
external-corpus/calculix__examples/cgx/dolfyn/mirror/spiegel.inp	162c3b2e11b565e982ca5c0c791a036960e2b6fa55236dc3d2834deba4efdd0b	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/cgx/dolfyn/mirror/ingang.sur'
external-corpus/calculix__examples/cgx/glue/latjm.inp	2f6677b6c2c7994426249f535f648a307fac475760a18f541913479b49a17cbb	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/cgx/glue/all.msh'
external-corpus/calculix__examples/cgx/pressfit/flange.inp	fd9c7df47bea7228889e771fd818f9c3212d06730bb9de38fd9617affc40562e	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/cgx/pressfit/all.msh'
external-corpus/calculix__examples/cgx/swepElements/ring1.inp	34962504411c1c0da368cea3232d02a8aad8fdde0f518dc11582c6e909768c7f	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/cgx/swepElements/all.msh'
external-corpus/calculix__examples/cgx/thermal/latimtrans.inp	89df306268078644be26d58af44a6df8756efb515cd9d07912983735dcb18a2a	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/cgx/thermal/all.msh'
external-corpus/calculix__examples/cgx/turbine/latim.inp	8d5d41db510ba9d2fce84a30f8143fe851bac462e250e2535873505c593900a0	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/cgx/turbine/all.msh'
external-corpus/calculix__examples/cgx-jet-engine-model/thermal2D/test_2d.inp	9801470ceea003aca0e188a521ce1b46a2e42325b569d177bc032b9ac6c6bd0e	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/cgx-jet-engine-model/thermal2D/all.msh'
external-corpus/calculix__examples/other/CubeTie/CubeTie.inp	8efc37c9483f380f27e33335ccbe130e60583944a24bd764d8a5c57329c21e8d	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/other/CubeTie/Group_Inner_Cnt_L.sur'
external-corpus/calculix__examples/other/CubeTie/Mesh_Btm_OUT_ReID.inp	9b11c6985d06aaecd054a31b98a62fa12ea12f0ac672cc4271c508514754abe4	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/other/CubeTie/Group_Inner_Cnt_L.sur'
external-corpus/calculix__examples/other/CubeTie/Mesh_Top_OUT_ReID.inp	ec71a9e026a7a8afcacb824106baf73186fa935094e0b94ecb55f5eed1b798cc	FileNotFoundError: [Errno 2] No such file or directory: 'external-corpus/calculix__examples/other/CubeTie/Group_Inner_Cnt.sur'
external-corpus/calculix__examples/other/Kandala_Stepan_Floor.inp	3a9236edd872471ec3606a65d84e1f65531266aca7c18467b3a6f27975d8d3a3	ValueError: external-corpus/calculix__examples/other/Kandala_Stepan_Floor.inp:3: part/assembly/instance namespaces are not supported
external-corpus/calculix__examples/yahoo/abaqus1.inp	908ffcc48c05d2179bdfd9fec1bef94c318f5c7fb659bf540659c9ffa0aa392f	ValueError: external-corpus/calculix__examples/yahoo/abaqus1.inp:8: part/assembly/instance namespaces are not supported
external-corpus/calculix__examples/yahoo/abaqus2.inp	725cc44ac03db9c24efc7019ec55e0377328dfdb07a8f0119574adc91a84026a	ValueError: external-corpus/calculix__examples/yahoo/abaqus2.inp:7: part/assembly/instance namespaces are not supported
external-corpus/calculix__examples/yahoo/ball_drop_test.inp	25cf260dc0eb9affa4dc92aae23d188708e7b1a60c48b69b0e475f3c3b8dedd2	ValueError: external-corpus/calculix__examples/yahoo/ball_drop_test.inp:2: undefined set '1plate'; references must name a previously defined set
external-corpus/calculix__examples/yahoo/linear_dload_abaqus.inp	776f9b015a4ab8d5ed0d1fd041fa344f4e5c86abd012c86ef1ad33bf63faab14	ValueError: external-corpus/calculix__examples/yahoo/linear_dload_abaqus.inp:8: part/assembly/instance namespaces are not supported
external-corpus/calculix__examples/yahoo/nfv4x32x.inp	6e15974f9908e8c53957cd80dcaa14a5c718088dee34eff39d2378ad6cb2c447	ValueError: external-corpus/calculix__examples/yahoo/nfv4x32x.inp:9: sets created by *NGEN are not supported
external-corpus/calculix__examples/yahoo/rot-solid.inp	ad5cd15a67055349e5c57c00a0db3dc75fa5b25ffa2045588349f53e3a1be613	ValueError: external-corpus/calculix__examples/yahoo/rot-solid.inp:8: part/assembly/instance namespaces are not supported
external-corpus/calculix__examples/yahoo/test1.inp	c1de10762800cc90d22abc6a172e7c50b5899087727dca0f57f0616130f971de	ValueError: external-corpus/calculix__examples/yahoo/test1.inp:2: ID must be a positive int64, got '0'
external-corpus/ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_cooks_beam_128.inp	3b8a21f528d2cbb2f16e9429650f1e0737f518b6e7ede450a4b7d9f61f62f0d0	ValueError: external-corpus/ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_cooks_beam_128.inp:232: part/assembly/instance namespaces are not supported
external-corpus/ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_th_gradient.inp	4173e7741c4b990c6538613a33c795bb2af630fd484ba27a1c8a7b9ddeb1d05d	ValueError: external-corpus/ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_th_gradient.inp:1292: part/assembly/instance namespaces are not supported
external-corpus/ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_twisted_beam.inp	71f361c343116321336952a9089b3658aece368733c3d090ca55d3cd463fa88d	ValueError: external-corpus/ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_twisted_beam.inp:25: part/assembly/instance namespaces are not supported
